effctive ddr bandwidth(total if w of other): Resize_185(Resize)_store/ptq_new_st/fusion,328704,81920,0,245760,1024
ddr bandwidth(total if w of other): Sigmoid_194.(Sigmoid)/broadcast_store/ptq_new_st/fusion,693632,471040,110592,102400,9600
effctive ddr bandwidth(total if w of other): Sigmoid_194.(Sigmoid)/broadcast_store/ptq_new_st/fusion,808320,565248,110592,122880,9600
ddr bandwidth(total if w of other): Sigmoid_197.(Sigmoid)/broadcast_store/ptq_new_st/fusion,533120,409600,16384,102400,4736
effctive ddr bandwidth(total if w of other): Sigmoid_197.(Sigmoid)/broadcast_store/ptq_new_st/fusion,635520,491520,16384,122880,4736
ddr bandwidth(total if w of other): Sigmoid_201.(Sigmoid)/broadcast_store/ptq_new_st/fusion,429824,204800,16384,204800,3840
effctive ddr bandwidth(total if w of other): Sigmoid_201.(Sigmoid)/broadcast_store/ptq_new_st/fusion,511744,245760,16384,245760,3840
ddr bandwidth(total if w of other): Conv_243(Conv)_store/fusion,1873522,204800,32640,1632000,4082
effctive ddr bandwidth(total if w of other): Conv_243(Conv)_store/fusion,1914496,245760,32640,1632000,4096
ddr bandwidth(total if w of other): Sigmoid_204.(Sigmoid)/broadcast_store/ptq_new_st/fusion,412416,209920,147456,51200,3840
effctive ddr bandwidth(total if w of other): Sigmoid_204.(Sigmoid)/broadcast_store/ptq_new_st/fusion,485120,251904,147456,81920,3840
ddr bandwidth(total if w of other): Sigmoid_214.(Sigmoid)/broadcast_store/ptq_new_st/fusion,368896,112640,196608,51200,8448
effctive ddr bandwidth(total if w of other): Sigmoid_214.(Sigmoid)/broadcast_store/ptq_new_st/fusion,467200,180224,196608,81920,8448
ddr bandwidth(total if w of other): Sigmoid_217.(Sigmoid)/broadcast_store/ptq_new_st/fusion,189696,102400,32768,51200,3328
effctive ddr bandwidth(total if w of other): Sigmoid_217.(Sigmoid)/broadcast_store/ptq_new_st/fusion,281856,163840,32768,81920,3328
ddr bandwidth(total if w of other): Sigmoid_221.(Sigmoid)/broadcast_store/ptq_new_st/fusion,275968,102400,65536,102400,5632
effctive ddr bandwidth(total if w of other): Sigmoid_221.(Sigmoid)/broadcast_store/ptq_new_st/fusion,398848,163840,65536,163840,5632
ddr bandwidth(total if w of other): Conv_244(Conv)_store/fusion,580274,102400,65280,408000,4594
effctive ddr bandwidth(total if w of other): Conv_244(Conv)_store/fusion,641728,163840,65280,408000,4608
ddr bandwidth(total if w of other): Sigmoid_224.(Sigmoid)/broadcast_store/ptq_new_st/fusion,744960,117760,589824,25600,11776
effctive ddr bandwidth(total if w of other): Sigmoid_224.(Sigmoid)/broadcast_store/ptq_new_st/fusion,830976,188416,589824,40960,11776
ddr bandwidth(total if w of other): Sigmoid_231.(Sigmoid)/broadcast_store/ptq_new_st/fusion,283648,51200,196608,25600,10240
effctive ddr bandwidth(total if w of other): Sigmoid_231.(Sigmoid)/broadcast_store/ptq_new_st/fusion,329728,81920,196608,40960,10240
ddr bandwidth(total if w of other): Sigmoid_234.(Sigmoid)/broadcast_store/ptq_new_st/fusion,653824,30720,589824,25600,7680
